축제ID	축제명	개최장소	축제시작일자	축제종료일자	축제내용	홈페이지주소	소재지도로명주소	소재지지번주소	위도	경도
938	2024 정조대왕 능행차 공동재현	서울 창덕궁~수원화성~화성 융릉	2024-10-05	2024-10-06	1795년 정조대왕의 을묘년 원행을 완벽하게 재현하는 국내 최대 퍼레이드	https://www.swcf.or.kr/hlfl/	경기도 수원시 팔달구 정조로 825	경기도 수원시 팔달구 남창동 6-2	37.28188256	127.0143944
1121	임실N치즈축제	임실치즈테마파크+임실치즈마을	2024-10-03	2024-10-06	국가대표 왕치즈피자 만들기+우유드림 행복드림 퍼레이드+임실N치즈페어+치즈경매	www.imsilfestival.com	전북특별자치도 임실군 성수면 도인2길 50	전북특별자치도 임실군 성수면 도인리 689	35.63310203	127.301299
1071	제51회신라문화제	경주관내일원	2024-10-03	2024-10-06	"1962년 제1회를 시작으로 올해 제50회를 맞이한 신라문화제의 예술제(주제공연 및 전시, 풍물 경연대회, 화평서제 등)"	https://www.gyeongju.go.kr/sillafestival/index.do	경상북도 경주시 양정로 260	주소 X	35.85619961	129.2247246
1091	부산국제록페스티벌	삼락생태공원	2024-10-05	2024-10-06	국내외 유명밴드 스테이지 공연 등	http://www.bfo.or.kr/main/index.asp	부산광역시 사상구 낙동대로 1231	부산광역시 사상구 삼락동 617-3	35.17001086	128.9765693
1104	산청한방약초축제	산청IC축제광장+동의보감촌	2024-09-27	2024-10-06	혜민서(한방무료진료)+전통방식 약초달이기+산청한약방 체험+문화예술공연/경연+전시/판매행사 등	http://scherb.or.kr/	경상남도 산청군 금서면 동의보감로555번길 61	경상남도 산청군 금서면 특리 1300-25	35.44111101	127.827835
1223	제20회 광주 추억의 충장축제	5.18민주광장 및 국립아시아문화전당+충장로+금남로+예술의 거리 등 광주 일원	2024-10-02	2024-10-06	공식행사+퍼레이드+전시+공연+체험+국제교류행사 등	http://www.donggu.kr/index.es?sid=c8	광주광역시 동구 서남로 1(동구청)	광주광역시 동구 서석동 31	35.1461414	126.9230951
1224	제2회 광주 버스킹 월드컵	금남로+5.18 민주광장 등 광주 전역	2024-10-02	2024-10-06	토너먼트 방식(온라인 예선을 거쳐 본선 진행)의 버스킹 공연	http://www.buskersworldcup.com/kor/	광주광역시 동구 서남로 1(동구청)	광주광역시 동구 서석동 31	35.1461414	126.9230951
1256	2024 남원 세계드론제전	남원종합스포츠타운	2024-10-03	2024-10-06	드론공연 남원 페스티벌+드론스포츠 대회+글로벌드론산업박람회+ 푸드트럭 페스티벌 등	홈페이지 정보 없음	전북특별자치도 남원시 충정로 341	전북특별자치도 남원시 월락동 248	35.43086878	127.4054593
1291	안성맞춤 남사당 바우덕이 축제	안성맞춤랜드+안성천 일대(작은미술관 부근)	2024-10-03	2024-10-06	공식행사(개장식+개폐막식)+시립풍물단 상설공연+시민예술무대+바우덕이 국악콘서트+비봉산 행복산행+음악회+옛 장터 운영+농특산물 홍보판매 +키즈체험프로그램+저탄소 프로그램+경관조명 운영 등+전야제(길놀이)	https://www.anseong.go.kr/festival/main.do	경기도 안성시 보개면 남사당로 198	경기도 안성시 보개면 복평리 303-3번지	37.03286992	127.3078038
1315	김제지평선축제	전북 김제시 벽골제	2024-10-02	2024-10-06	벽골제 제사+지평선 전국 농악 경연 대회+농악경연 대회+벽골제 쌍룡 햇불 퍼레이드+지평선 김제夜놀자+쌍룡 서치&고고쇼+벽골제 오색 별빛의 향연	https://www.gimje.go.kr/festival/index.gimje	전북특별자치도 김제시 부량면 벽골제로 442	전북특별자치도 김제시 부량면 신용리 242-10	35.75462558	126.8531043
