"MARKETID","MARKETNAME","MARKETTYPE","ROADADDRESS","JIBUNADDRESS","OPENINGPERIOD","LATITUDE","LONGITUDE","PUBLICTOILET","PARKINGAVAILABILITY"
222,"남목시티시장","상설장","울산광역시 동구 남목18길 8(동부동)","울산광역시 동구 동부동 303-3","매일",35.5427086,129.4285507,"Y","Y"
223,"남문로데오시장","상설장","경기도 수원시 팔달구 행궁로 88 교동","경기도 수원시 팔달구 교동 3-6","매일",37.27463697,127.0155247,"Y","Y"
224,"남문시장","상설장","서울특별시 금천구 시흥대로 144길 17","서울특별시 금천구 독산동 984-10","매일",37.4737667,126.900424,"Y","Y"
225,"남문패션1번가시장","상설장","경기도 수원시 팔달구 정조로758번길 24 영동","경기도 수원시 팔달구 영동 43-5","매일",37.27562604,127.0181079,"N","N"
226,"남부골목시장","상설장","서울특별시 강서구 곰달래로 55길4 화곡동","서울특별시 강서구 화곡동 797-7","매일",37.5322382,126.8607298,"Y","Y"
227,"남부시장","상설장","대구광역시 남구 현충로 19길43","대구광역시 남구 대명동 797-1","매일",35.84140252,128.5769294,"Y","N"
228,"남부시장","상설장","경상북도 포항시 남구 상공로43","경상북도 포항시 남구 상도동 629","매일",36.01262688,129.3561426,"Y","Y"
229,"남부종합시장","상설장","서울특별시 서초구 방배중앙로 27길 17","서울특별시 서초구 방배동 767-1 남부종합시장","매일",37.49499219,126.9848056,"Y","Y"
230,"남성사계시장","상설장","서울특별시 동작구 동작대로29길 8 사당동","서울특별시 동작구 사당동 88-3","매일",37.48816011,126.9815648,"Y","Y"
231,"남성역골목시장","상설장","서울특별시 동작구 사당로 16가길 19","서울특별시 동작구 사당동 267-4","매일",37.48298787,126.9723253,"N","Y"
232,"남양시장","상설장+5일장","경기도 화성시 남양읍 남양시장로 61일원","경기도 화성시 남양리 1165-25","매일+6일",37.2090298,126.8159971,"Y","Y"
1,"(사)김해동상시장","상설장","경상남도 김해시 호계로 517번길 5-13","경상남도 김해시 동상동 877-2","매일",35.23623779,128.8838588,"Y","Y"
2,"(사)속초종합중앙시장","상설장","강원특별자치도 속초시 중앙로147번길 16","강원특별자치도 속초시 중앙동 471-4","매일",38.20452186,128.5901906,"Y","Y"
3,"(사)홍성상설시장","상설장","충청남도 홍성군 홍성읍 아문길 60","충청남도 홍성군 홍성읍 오관리 397-6","매일",36.59973844,126.6637088,"Y","Y"
4,"(주)대전도매시장","상설장","대전광역시 동구 대전로 785번길","대전광역시 동구 중동 76-1","매일",36.3302023,127.4329191,"Y","Y"
5,"(주)신정시장","상설장","울산광역시 남구 월평로47번길 7","울산광역시 남구 신정동 630-1","매일",35.54233752,129.3102795,"Y","N"
6,"(주)야음시장","상설장","x","울산광역시 남구 야음동 815-22","매일",35.52405748,129.3313731,"Y","Y"
7,"(주)여수수산물 특화시장","상설장","전라남도 여수시 남산로 60-31","전라남도 여수시 남산동 4","매일",34.7368326,127.7328889,"Y","Y"
8,"(주)중앙상사(송현자유시장)","상설장","인천광역시 동구 중앙로 82","인천광역시 동구 송현동 100-179","매일",37.47577727,126.632816,"Y","N"
9,"(주)중앙시장","상설장","전라남도 여수시 중앙로 43","전라남도 여수시 교동 400-1","매일",34.74059589,127.7325649,"Y","Y"
10,"1913송정역 시장","상설장","광주광역시 광산구 송정로 8번길 33","광주광역시 광산구 송정동 971-1","매일",35.13556354,126.7915343,"Y","Y"
11,"Team204","상설장","서울특별시 중구 마장로 30","서울특별시 중구 신당동 204-48 외 3필지","매일",37.56771279,127.0131966,"Y","Y"
12,"㈜서시장","상설장","전라남도 여수시 좌수영로 16-6","전라남도 여수시 서교동 280","매일",34.74179248,127.728651,"Y","Y"
13,"㈜신정시장","상설장","울산광역시 남구 월평로47번길 7","울산광역시 남구 신정동 630-1","매일",35.5423359,129.3102844,"Y","N"
14,"㈜야음시장","상설장","울산광역시 남구 수암로 234","울산광역시 남구 야음동 815-22","매일",35.52405894,129.3313722,"Y","Y"
15,"㈜여수수산물특화시장","상설장","전라남도 여수시 남산로 60-31","전라남도 여수시 남산동 4","매일",34.736825,127.732856,"Y","Y"
16,"㈜여수수산시장","상설장","전라남도 여수시 여객선터미널길 24","전라남도 여수시 교동 680","매일",34.73814206,127.7317636,"Y","Y"
17,"㈜중앙시장","상설장","전라남도 여수시 중앙로 43","전라남도 여수시 교동 400-1","매일",34.74059589,127.732581,"Y","Y"
18,"가경터미널시장","상설장","충청북도 청주시 흥덕구 풍년로160번길 42-1","충청북도 청주시 흥덕구 가경동 1342","매일",36.62736075,127.4350249,"Y","Y"
19,"가락타운상가시장","상설장","부산광역시 사하구 하신번영로 233 가락타운2 3단지","부산광역시 사하구 사하구 하단1동 1175","매일",35.10107782,128.9579657,"Y","Y"
20,"가리봉시장","상설장","서울특별시 구로구 우마3길 15","서울특별시 구로구 가리봉동 123-62","매일",37.48167727,126.8890779,"Y","N"
21,"가야벽산상가","상설장","부산광역시 부산진구 엄광로 68 벽산아파트","부산광역시 부산진구 가야2동 669-9","매일",35.14661344,129.0269894,"Y","Y"
22,"가야상설시장","5일장","경상남도 함안군 가야읍 가야8길8","경상남도 함안군 가야읍 말산리 470-1","5일+10일",35.27726096,128.4064637,"Y","Y"
23,"가야시장","5일장","경상남도 합천군 가야면 가야시장로 63-15","경상남도 합천군 가야면 황산리 17-1","5일+10일",35.76024552,128.1383663,"Y","Y"
24,"가양시장(주)","상설장","대전광역시 동구 매봉로 18","대전광역시 동구 가양동 434","매일",36.34626329,127.4431993,"Y","Y"
25,"가은아자개시장","5일장","경상북도 문경시 가은읍 가은5길 7","경상북도 문경시 가은읍 왕능리 275-26","4일+9일",36.64660927,128.0609889,"Y","Y"
26,"가음시장대상가","상설장","경상남도 창원시 성산구 원이대로 883번지 15-24","x","매일",35.2080513,128.6969918,"Y","Y"
27,"가음정시장","상설장","경상남도 창원시 성산구 원이대로863번길24","경상남도 창원시 성산구 가음동 21-20","매일",35.20828431,128.6977985,"Y","Y"
28,"가평잣고을시장","5일장","경기도 가평군 가평읍 장터2길12 204호","경기도 가평군 읍내리 405","5일+10일",37.82976594,127.5148873,"Y","Y"
29,"간석자유시장","상설장","인천광역시 남동구 백범로 312-1","인천광역시 남동구 간석동 41-1","매일",37.46388365,126.7153431,"Y","N"
30,"간성전통시장","5일장","강원특별자치도 고성군 간성시장3길 7-2","강원특별자치도 고성군 간성읍 신안리 311-10","2일+7일",38.37999652,128.4694501,"Y","Y"
